,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
25,,1.5,,9,,,,0.75,,,,10
26,3.5,,,3.5,,8,,,0.5,,4.5,
27,,,,2,,,,,1.5,2.5,25,
28,5,,,,,,,,,,6.5,
29,,,,17,,,1,3,1.5,,,
30,9,,,4,,,,,,,1,
31,2.5,,,,,,,,,,,
1,1,4.5,,,,,,,,18,6,
2,2,5,,,,,,,,,2.5,
3,,,,,,,8,,,8,1.5,
4,,2,,0.5,,,,,,,8,
5,,9.5,,6.5,,,,0.5,,3,6.5,
6,,5.5,,1.5,,,,8.5,3,,1,
7,,2,1.5,,,1.5,,0.5,,,18,
8,,4,21.5,4,2.25,6,,0.75,0.5,,4.5,
9,2,3.5,,5,,,,,1.25,,3,
10,4,8.5,,4,,,,,,,10,
11,,,30,,0.5,4,,,,8,21,
12,9,,,10.5,0.5,,,,3.75,9,3,
13,1,1,17,0.5,,,,,0.5,,,2.5
14,5,1.5,,,,,,,6,0.5,4.5,
15,4.5,,,,3,,,,,4.25,,
16,3.5,,7,,4,,,0.5,2,6,,
17,,,1,,,5,,,,,,6
18,,,0.5,1,,,,1.5,1.5,,,
19,,,,,7.5,,,,0.5,7,5.5,7.5
20,10,,7,,2.5,,0.5,,,2,12,1
21,8,,11,,,1,,,,1,8.5,
22,4.5,,,,,,,,,1,8,3.5
23,1,,,,,,,,,1,3,6
